12	61	0.13	108	20.25
14	64	0.21	108.75	21.5
53	75	0.2	118.25	23.75
55	78	0.19	118.75	24.5
46	71	0.12	116.5	22.75
8	61	0.12	107	20.25
36	68	0.12	114.5	22
9	58	0.12	107.25	19.5
10	54	0.12	107.5	18.5
13	52	0.12	108.25	18
17	62	0.12	109.5	20.5
27	64	0.12	111.75	21
30	66	0.12	112.5	21.5
58	76	0.12	119.5	24
60	78	0.12	120	24.5
78	56	0.09	124.5	19.5
78	65	0.11	124.5	21.25
78	69	0.12	124.75	22
58	64	0.13	120	21.75
55	64	0.13	118	21
